Деталь;Зона;Фрагмент;Материал;Кол-во;Пл.ядра мм²;Пл.раскроя мм²;Направление ворса °
1;1;1-1-1;-;1;16595.3;16595.3;90
1;1;1-1-2;-;1;9324.0;9324.0;90
1;1;1-1-3;-;1;9414.0;9414.0;90
1;1;1-1-4;-;1;8109.0;8109.0;90
1;1;1-1-5;-;1;6723.0;6723.0;90
1;1;1-1-6;-;1;12816.0;12816.0;90
1;1;1-1-8;-;1;11025.0;11025.0;90
1;1;1-1-9;-;1;13950.0;13950.0;90
1;1;1-1-10;-;1;5742.0;5742.0;90
1;1;1-1-11;-;1;7778.3;7778.3;90
1;1;1-1-12;-;1;9234.0;9234.0;90
1;1;1-1-13;-;1;7832.6;7832.6;90
1;1;1-1-14;-;1;6322.8;6322.8;90
1;1;1-1-15;-;1;9897.0;9897.0;90
1;1;1-1-16;-;1;6303.7;6303.7;90
1;1;1-1-17;-;1;5884.6;5884.6;90
1;1;1-1-18;-;1;8937.0;8937.0;90
1;1;1-1-19;-;1;6738.4;6738.4;90
1;1;1-1-20;-;1;2798.4;2798.4;90
1;1;1-1-21;-;1;7140.8;7140.8;90
1;1;1-1-22;-;1;4770.0;4770.0;90
1;1;1-1-23;-;1;2874.7;2874.7;90
1;1;1-1-24;-;1;6975.0;6975.0;90
1;1;1-1-25;-;1;8770.4;8770.4;90
1;1;1-1-26;-;1;4819.1;4819.1;90
1;1;1-1-27;-;1;5722.7;5722.7;90
1;1;1-1-28;-;1;7907.6;7907.6;90
1;1;1-1-29;-;1;4888.2;4888.2;90
1;1;1-1-30;-;1;5618.2;5618.2;90
1;1;1-1-31;-;1;5734.2;5734.2;90
1;1;1-1-32;-;1;2511.0;2511.0;90
1;1;1-1-33;-;1;4397.0;4397.0;90
1;1;1-1-34;-;1;5597.8;5597.8;90
1;1;1-1-35;-;1;6427.8;6427.8;90
1;1;1-1-36;-;1;6090.2;6090.2;90
1;1;1-1-37;-;1;3366.1;3366.1;90
1;1;1-1-38;-;1;8731.6;8731.6;90
1;1;1-1-39;-;1;12397.9;12397.9;90
1;1;1-1-40;-;1;10054.8;10054.8;90
1;1;1-1-41;-;1;5758.2;5758.2;90
1;1;1-1-42;-;1;7925.3;7925.3;90
1;1;1-1-43;-;1;12222.0;12222.0;90
1;1;1-1-44;-;1;3177.0;3177.0;90
1;1;1-1-45;-;1;5061.8;5061.8;90
1;1;1-1-46;-;1;4222.6;4222.6;90
1;1;1-1-47;-;1;7471.7;7471.7;90
1;1;1-1-48;-;1;5208.3;5208.3;90
1;1;1-1-49;-;1;6336.6;6336.6;90
1;1;1-1-50;-;1;5814.0;5814.0;90
1;1;1-1-51;-;1;1026.0;1026.0;90
1;1;1-1-52;-;1;711.0;711.0;90
1;1;1-1-53;-;1;1368.0;1368.0;90
1;1;1-1-54;-;1;513.0;513.0;90
1;1;1-1-55;-;1;531.0;531.0;90
1;1;1-1-56;-;1;3726.0;3726.0;90
1;1;1-1-58;-;1;612.0;612.0;90
1;1;1-1-59;-;1;54.0;54.0;90
1;1;1-1-62;-;1;1827.0;1827.0;90
1;1;1-1-63;-;1;396.0;396.0;90
1;1;1-1-65;-;1;90.0;90.0;90
1;1;1-1-66;-;1;783.0;783.0;90
1;1;"1-1-69, 1-1-77";-;2;216.0;216.0;90
1;1;1-1-72;-;1;126.0;126.0;90
1;1;1-1-73;-;1;432.0;432.0;90
1;1;1-1-74;-;1;72.0;72.0;90
1;1;1-1-78;-;1;288.0;288.0;90
1;1;1-1-79;-;1;63.0;63.0;90
1;1;1-1-80;-;1;1467.0;1467.0;90
1;1;1-1-81;-;1;369.0;369.0;90
